author_id,openalex_id,name,orcid,institution,institution_id,faculty,department,total_works,total_citations,h_index,i10_index,two_year_mean_citedness,research_areas
"https://openalex.org/A5111249236","A5111249236","Meilina Permata Sari","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","0","0","0","0","Art; Humanities"
"https://openalex.org/A5111259189","A5111259189","Muhammad Rifky Naufal","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Physical therapy; Medicine"
"https://openalex.org/A5111266663","A5111266663","Muhammad Iqbal Sholahuddin","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Advertising; Philosophy; Sociology; Business; Political science"
"https://openalex.org/A5111270218","A5111270218","Devan Raditya Pratama","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Finance; Statistics; SWOT analysis; Data collection; Business"
"https://openalex.org/A5111399109","A5111399109","TAUFAN HIDAYATULLAH","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Aesthetics; Mathematical analysis; Art; Motif (music); Mathematics"
"https://openalex.org/A5111399141","A5111399141","IMELDA PANGARIBUAN","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","0","0","0","0","Artificial intelligence; Data science; Computer science"
"https://openalex.org/A5111399146","A5111399146","RICHI DWI AGUSTIA","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Food science; Computer science; Medicine; Gerontology; Biology"
"https://openalex.org/A5112419649","A5112419649","Gema Arifrahara","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Teknik dan Ilmu Komputer","","1","2","1","0","0","Engineering; Business; Archaeology; Tourism; Geography"
"https://openalex.org/A5112442270","A5112442270","Sri Nurhayati","https://orcid.org/0000-0002-2273-9143","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","12","1","1","0","Artificial intelligence; Chatbot; Computer science"
"https://openalex.org/A5112450331","A5112450331","I Nym. Anom Fajaraditya","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","1","1","0","0","Art; Humanities"
"https://openalex.org/A5112485209","A5112485209","YY Kerlooza","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Authorization; Operating system; Software engineering; Channel (broadcasting); Conformity"
